Last updated: 2023-11-10									
Mtg #	Drug Generic Name	Drug Brand Name	Drug Class	FDA-Approved Indications	Pharmacologic Activity	Drug Target	Target Class & Location	Target Normal Role (Physiology)	Mechanism of Action (MOA)
	desvenlafaxine	Pristiq	antidepressant, serotonin/norepinephrine reuptake inhibitor (SNRI)	MDD	reversible inhibitor [Note: because the target class is "transporter" rather than enzyme, the term "inhibitor" wouldn't normally apply to this drug class; however, because it is "Serotonin/ Norepinephrine Reuptake Inhibitor" we use "inhhibitor" for consistency]	serotonin transporter (SERT) and norepinephrine transporter (NET)	transporters on CNS pre-synaptic neurons	Normally, SERT and NET act to take up 5HT and NE, respectively, that were secreted into the synapse. This serves to terminate the serotonergic and noradrenergic neurotransmission and allow for 5HT and NE catabolism or recycling.	Serotonin/norepinephrine reuptake inhibitors are inherently polypharmacologic. As serotonin reuptake inhibitors, they attenuate the activiy of SERT, therby reducing the reuptake of 5HT from CNS synapses. In addition, as norepinephrine reuptake inhibitors, they attenuate the activiy of NET, therby reducing the reuptake of NE from CNS synapses. By increasing the synaptic availabilities of 5HT and NE, SNRIs increase serotonergic and noradrenergic transmission in the CNS to reduce symptoms of depression.
	duloxetine	Cymbalta 	antidepressant, serotonin/norepinephrine reuptake inhibitor (SNRI)	MDD; generalized anxiety disorder	reversible inhibitor	serotonin transporter (SERT) and norepinephrine transporter (NET)	transporters on CNS pre-synaptic neurons	Normally, SERT and NET act to take up 5HT and NE, respectively, that were secreted into the synapse. This serves to terminate the serotonergic and noradrenergic neurotransmission and allow for 5HT and NE catabolism or recycling.	Serotonin/norepinephrine reuptake inhibitors are inherently polypharmacologic. As serotonin reuptake inhibitors, they attenuate the activiy of SERT, therby reducing the reuptake of 5HT from CNS synapses. In addition, as norepinephrine reuptake inhibitors, they attenuate the activiy of NET, therby reducing the reuptake of NE from CNS synapses. By increasing the synaptic availabilities of 5HT and NE, SNRIs increase serotonergic and noradrenergic transmission in the CNS to reduce symptoms of depression.
	venlafaxine	Effexor	antidepressant, serotonin/norepinephrine reuptake inhibitor (SNRI)	MDD; anxiety disorders	reversible inhibitor	serotonin transporter (SERT) and norepinephrine transporter (NET)	transporters on CNS pre-synaptic neurons	Normally, SERT and NET act to take up 5HT and NE, respectively, that were secreted into the synapse. This serves to terminate the serotonergic and noradrenergic neurotransmission and allow for 5HT and NE catabolism or recycling.	Serotonin/norepinephrine reuptake inhibitors are inherently polypharmacologic. As serotonin reuptake inhibitors, they attenuate the activiy of SERT, therby reducing the reuptake of 5HT from CNS synapses. In addition, as norepinephrine reuptake inhibitors, they attenuate the activiy of NET, therby reducing the reuptake of NE from CNS synapses. By increasing the synaptic availabilities of 5HT and NE, SNRIs increase serotonergic and noradrenergic transmission in the CNS to reduce symptoms of depression.
	amitriptyline	Elavil	antidepressant, tricyclic (TCA)	MDD	reversible inhibitor	serotonin transporter (SERT) and norepinephrine transporter (NET)	transporters on CNS pre-synaptic neurons	Normally, SERT and NET act to take up 5HT and NE, respectively, that were secreted into the synapse. This serves to terminate the serotonergic and noradrenergic neurotransmission and allow for 5HT and NE catabolism or recycling.	Tricyclic antidepressants are inherently polypharmacologic. As serotonin reuptake inhibitors, they attenuate the activiy of SERT, therby reducing the reuptake of 5HT from CNS synapses. In addition, as norepinephrine reuptake inhibitors, they attenuate the activiy of NET, therby reducing the reuptake of NE from CNS synapses. By increasing the synaptic availabilities of 5HT and NE, TCAs increase serotonergic and noradrenergic transmission in the CNS to reduce symptoms of depression.
	Week 11								
20	chlorpromazine	Thorazine	antipsychotic, first generation (typical)	psychosis associated with schizophrenia [also bipolar disorder; other psychiatric disorders]	reversible orthosteric antagonist 	dopamine D2 receptor (D2R)	GPCR on post-synaptic neurons in the brain		
	haloperidol	Haldol	antipsychotic, first generation (typical)	psychosis associated with schizophrenia [also Tourette syndrome]	reversible orthosteric antagonist 	dopamine D2 receptor (D2R)	GPCR on post-synaptic neurons in the brain		
	aripiprazole	Abilify	antipsychotic, second generation (atypical)	psychosis associated with schizophrenia [also bipolar disorder; major depressive disorder; Tourette syndrome]	partial agonist 	dopamine D2 receptor (D2R)	GPCR on post-synaptic (antagonist) and pre-synaptic (agonist) neurons in the brain		
	olanzapine	Zyprexa	antipsychotic, second generation (atypical)	psychosis associated with schizophrenia	reversible orthosteric antagonist 	dopamine D2 receptor (D2R)	GPCR on post-synaptic neurons in the brain		
	quetiapine	Seroquel	antipsychotic, second generation (atypical)	psychosis associated with schizophrenia [also bipolar disorder; major depressive disorder]	reversible orthosteric antagonist 	dopamine D2 receptor (D2R)	GPCR on post-synaptic neurons in the brain		
	risperidone	Risperdal	antipsychotic, second generation (atypical)	psychosis associated with schizophrenia [also bipolar mania]	reversible orthosteric antagonist 	dopamine D2 receptor (D2R)	GPCR on post-synaptic neurons in the brain		
	ziprasidone	Geodon	antipsychotic, second generation (atypical)	psychosis associated with schizophrenia	reversible orthosteric antagonist 	dopamine D2 receptor (D2R) 	GPCR on post-synaptic neurons in the brain		
	Week 12								
21	alprazolam	Xanax	benzodiazepine	anxiety	allosteric modulator	GABAA receptor [SFS note: sometimes colloquially known as the "benzodiazepine receptor"]			
	clonazepam	Klonopin	benzodiazepine	panic disorder; seizure disorder	allosteric modulator	GABAA receptor 			
	diazepam	Valium	benzodiazepine	anxiety; seizures [also: acute alcohol withdrawal, muscle spasm]	allosteric modulator	GABAA receptor 			
	lorazepam	Ativan	benzodiazepine	anxiety; seizures 	allosteric modulator	GABAA receptor 			
	eszopiclone	Lunesta	nonbenzodiazepine benzodiazepine receptor agonist; hypnotic, miscellaneous	insomnia	allosteric modulator	GABAA receptor 			
	zolpidem	Ambien	nonbenzodiazepine benzodiazepine receptor agonist; hypnotic, miscellaneous	insomnia	allosteric modulator	GABAA receptor 			
	phenobarbital	N/A	anticonvulsant, barbiturate; barbiturate	seizures; sedation	allosteric modulator	GABAA receptor 			
	phenytoin	Dilantin	anticonvulsant, hydantoin	seizures	blocker	voltage-gated sodium (NaV) channel			
	gabapentin	Neurontin	anticonvulsant, miscellaneous; GABA analog	seizures; neuropathic pain [neuropathic pain, specifically postherpetic neuralgia]	blocker	voltage-gated calcium (CaV) channel			
	pregabalin	Lyrica	anticonvulsant, miscellaneous; GABA analog	seizures; neuropathic pain; dysfunctional pain [neuropathic pain, specifically diabetic neuropathy and postherpetic neuralgia; dysfunctional pain, specificially fibromyalgia]	blocker	voltage-gated calcium (CaV) channel			
	carbamazepine	Tegretol	anticonvulsant, miscellaneous	adjunctive therapy for seizures; neuropathic pain; maintenance treatment of bipolar disorder [neuropathic pain, specifically trigeminal neuralgia]	blocker	voltage-gated sodium (NaV) channel			
	oxcarbazepine	Trileptal	anticonvulsant, miscellaneous	seizures	blocker	voltage-gated sodium (NaV) channel			
	lamotrigine	Lamictal	anticonvulsant, miscellaneous	seizures; bipolar disorder	blocker	voltage-gated sodium (NaV) channel			
	levetiracetam	Keppra	anticonvulsant, miscellaneous	seizures	blocker	voltage-gated calcium (CaV) channel			
	topiramate	Topamax	anticonvulsant, miscellaneous	seizures; migraine prophylaxis	blocker	voltage-gated sodium (NaV) channel			
	valproate	Depakote	anticonvulsant, miscellaneous; antimanic agent; histone deacetylase inhibitor	seizures; bipolar disorder	blocker	voltage-gated sodium (NaV) channel			
22	fentanyl	Duragesic; Actiq	analgesic, opioid	pain [this is sufficient for MFDA; note that there are many indications that may be worth capturing from a drug information resource]	agonist	mu opioid peptide receptors (MOPR)			
	morphine	MS Contin; Kadian	analgesic, opioid	pain [this is sufficient for MFDA; note that there are many indications that may be worth capturing from a drug information resource]	agonist	mu opioid peptide receptors (MOPR)			
	oxycodone	OxyContin; Roxicodone	analgesic, opioid	pain [this is sufficient for MFDA; note that there are many indications that may be worth capturing from a drug information resource]	agonist	mu opioid peptide receptors (MOPR)			
	oxymorphone	Opana	analgesic, opioid	pain [this is sufficient for MFDA; note that there are many indications that may be worth capturing from a drug information resource]	agonist	mu opioid peptide receptors (MOPR)			
	tramadol	Ultram	analgesic, opioid	pain [this is sufficient for MFDA; note that there are many indications that may be worth capturing from a drug information resource]	agonist	mu opioid peptide receptors (MOPR)			
	naloxone	Narcan	opioid antagonist; antidote	opioid reversal [examples include opioid toxicity or overdose]	reversible orthosteric antagonist 	mu opioid peptide receptors (MOPR)			
	naltrexone	Vivitrol	opioid antagonist; antidote	opioid use disorder (OUD)	reversible orthosteric antagonist 	mu opioid peptide receptors (MOPR)			
	buprenorphine + naloxone	Suboxone 							
	hydrocodone + acetaminophen	Norco; Vicodin 							
	oxycodone + acetaminophen	Percocet 							
